job_title,Salary_In_USD,Remote_Ratio,Company_Size,Experience_Level,Work_Year,Company_Location
Data Engineer,150000,2,1,2,2,0
Machine Learning Manager,150000,2,1,2,2,0
Data Engineer,150000,2,1,2,2,0
Business Data Analyst,150000,2,2,1,2,0
Data Engineer,150000,0,1,1,2,0
Data Engineer,150000,2,1,2,2,0
Analytics Engineer,150000,2,1,3,2,0
Machine Learning Engineer,150000,2,2,2,2,0
Data Analyst,150000,2,2,0,2,0
Data Engineer,150000,2,1,1,2,0
Data Scientist,150000,0,1,2,2,0
Data Scientist,150000,2,1,2,2,0
Data Analyst,150000,2,1,2,2,0
Data Engineering Manager,150000,0,2,2,1,0
Computer Vision Software Engineer,150000,2,0,0,2,1
Data Architect,150000,2,2,1,1,0
Data Scientist,150000,2,1,1,1,0
BI Data Analyst,150000,2,2,3,1,0
Data Engineer,150000,2,1,2,1,0
Data Engineer,150000,2,2,2,1,0
Machine Learning Engineer,150000,1,2,2,0,0
Data Analyst,150075,2,1,2,2,0
Data Analyst,150075,2,1,2,2,0
Data Analytics Manager,150260,2,1,2,2,0
Principal Data Scientist,151000,2,2,1,1,0
Data Scientist,151800,0,1,2,2,0
Analytics Engineer,152000,0,1,2,2,0
Data Scientist,152000,0,1,2,2,0
Data Science Manager,152000,2,2,2,1,1
Data Science Manager,152500,2,1,2,2,0
Data Scientist,153000,2,1,2,2,0
Data Scientist,153000,2,1,2,2,0
Data Scientist,153000,2,2,1,2,0
Machine Learning Scientist,153000,1,1,1,2,0
Data Engineering Manager,153000,2,2,2,1,0
Data Scientist,153600,2,1,2,2,0
Director of Data Science,153667,2,2,3,1,1
Data Scientist,154000,0,1,2,2,0
Data Scientist,154000,2,1,2,2,0
Data Engineer,154000,2,1,2,2,0
Data Engineer,154000,2,1,2,2,0
Data Engineer,154545,0,2,2,2,0
Data Engineer,154545,0,2,2,2,0
Data Engineer,154600,2,2,2,2,0
Data Engineer,154600,2,2,2,2,0
Data Engineer,155000,0,1,2,2,0
Data Scientist,155000,2,1,2,2,0
Data Scientist,155000,2,1,2,2,0
Data Scientist,155000,2,1,2,2,0
Data Engineer,155000,2,1,2,2,0
Data Analyst,155000,2,1,2,2,0
Data Engineer,155000,2,1,2,2,0
Principal Data Scientist,155825,2,1,2,2,1
Data Scientist,156400,0,1,2,2,0
Data Scientist,156400,0,1,2,2,0
Data Scientist,156400,0,1,2,2,0
Data Engineer,156600,2,1,2,2,0
Lead Data Scientist,156868,2,2,2,2,0
Analytics Engineer,157000,2,1,3,2,0
Applied Data Scientist,157000,2,2,1,2,0
Data Science Manager,158000,2,1,1,2,0
Data Scientist,158200,2,2,2,2,0
Data Scientist,159000,0,2,2,2,0
Data Science Manager,159000,2,1,1,2,0
Data Scientist,159200,2,2,2,2,0
Data Scientist,159699,0,1,2,2,0
Head of Data,160000,0,1,3,2,0
Data Engineer,160000,0,1,2,2,0
Data Engineer,160000,0,1,2,2,0
Data Engineer,160000,0,1,2,2,0
Data Architect,160000,2,1,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Scientist,160000,0,2,2,2,0
Data Scientist,160000,0,1,1,2,0
Data Scientist,160000,0,2,2,2,0
Data Scientist,160000,2,2,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Scientist,160000,0,2,2,2,0
Data Scientist,160000,2,2,2,2,0
ML Engineer,160000,0,1,2,2,0
Machine Learning Scientist,160000,2,2,1,2,0
Data Engineer,160000,0,2,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Engineer,160000,2,1,2,2,0
Data Scientist,160000,2,1,1,2,0
Cloud Data Engineer,160000,2,0,2,1,0
Lead Data Engineer,160000,1,0,2,1,0
Data Scientist,160000,2,2,1,1,0
Data Engineer,160080,0,1,2,2,0
Data Engineer,160080,2,1,2,2,0
Data Engineer,160395,2,1,2,2,0
Data Engineer,161000,2,1,2,2,0
Data Science Manager,161342,2,1,2,2,0
Big Data Engineer,162502,1,1,2,2,1
Data Engineer,164000,0,1,2,2,0
Data Analyst,164000,0,1,2,2,0
Machine Learning Engineer,164996,0,1,2,2,0
Machine Learning Engineer,164996,0,1,2,2,0
Machine Learning Engineer,164996,0,1,2,2,0
Data Science Lead,165000,1,0,2,2,0
Data Engineer,165000,2,1,2,2,0
Data Scientist,165000,2,2,2,2,0
Analytics Engineer,165000,2,1,2,2,0
Data Scientist,165000,2,1,2,2,0
Data Scientist,165000,2,2,2,1,0
Data Engineer,165000,0,1,2,1,0
Data Specialist,165000,2,2,2,1,0
Data Scientist,165220,2,1,2,2,0
Data Engineer,165400,2,1,2,2,0
Data Engineer,165400,2,1,2,2,0
Data Engineer,166000,2,1,2,2,0
Data Analyst,166700,0,1,2,2,0
Data Scientist,167000,2,1,2,2,0
Data Analyst,167000,2,1,1,2,0
Machine Learning Engineer,167100,0,1,2,2,0
Head of Data Science,167875,2,1,3,2,0
Data Scientist,168000,2,1,2,2,0
Director of Data Science,168000,0,0,2,1,1
Data Analyst,169000,0,1,2,2,0
Data Analyst,169000,0,1,2,2,0
Data Analyst,169000,0,1,2,2,0
Data Engineer,170000,0,1,2,2,0
Data Engineer,170000,0,1,2,2,0
Data Engineer,170000,0,1,2,2,0
Data Engineer,170000,2,1,2,2,0
Data Scientist,170000,2,1,2,2,0
Data Scientist,170000,2,1,2,2,0
Analytics Engineer,170000,2,1,2,2,0
Data Engineer,170000,2,1,2,2,0
Data Scientist,170000,2,1,2,2,0
Data Engineer,170000,2,1,1,2,0
Data Analyst,170000,2,1,2,2,0
Data Analyst,170000,2,1,2,2,0
Data Analyst,170000,2,1,2,2,0
Data Architect,170000,2,2,1,1,0
Lead Data Analyst,170000,2,2,2,1,0
Principal Data Analyst,170000,2,1,2,1,0
Data Engineer,171000,0,1,2,2,0
Data Scientist,172000,2,1,2,2,0
Applied Machine Learning Scientist,173000,1,1,1,2,0
Data Scientist,173397,0,1,1,2,1
Principal Data Scientist,173762,2,1,2,1,1
Data Engineering Manager,174000,2,2,2,1,0
Data Science Manager,174000,2,2,2,1,0
Data Engineer,175000,2,1,2,2,0
Data Scientist,175000,0,1,2,2,0
Data Scientist,175000,2,1,2,2,0
Data Engineer,175000,2,1,2,2,0
Data Scientist,175000,0,1,2,2,0
Data Analyst,175000,2,1,2,2,0
Data Engineer,175000,2,1,2,2,0
Data Engineer,175000,2,1,2,2,0
Analytics Engineer,175000,2,1,3,2,0
Data Science Manager,175100,2,1,2,2,0
Data Science Manager,175100,0,1,3,2,0
Data Engineer,175100,2,1,2,2,0
Data Analyst,175950,2,1,2,2,0
Data Scientist,176000,2,1,2,2,0
Applied Data Scientist,177000,2,2,2,2,0
Data Engineer,177600,2,2,2,2,0
Data Engineer,178800,2,2,2,2,0
Data Engineer,178800,2,2,2,2,0
Data Scientist,179400,0,1,2,2,0
Data Scientist,179400,2,1,2,2,0
Data Science Manager,179775,2,1,2,2,0
Data Scientist,180000,0,1,2,2,0
Data Scientist,180000,2,1,2,2,0
ML Engineer,180000,2,1,1,2,0
Machine Learning Engineer,180000,2,1,2,2,0
Data Engineer,180000,0,1,2,2,0
Data Scientist,180000,2,1,0,2,0
Data Architect,180000,2,1,2,2,0
Data Engineer,180000,2,1,2,2,0
Machine Learning Engineer,180000,2,1,2,2,0
Machine Learning Engineer,180000,2,1,2,2,0
Data Scientist,180000,2,2,2,2,0
Data Engineer,180000,2,1,2,2,0
Machine Learning Scientist,180000,2,0,3,2,0
Analytics Engineer,180000,0,1,2,2,0
Data Scientist,180000,2,2,2,2,0
Machine Learning Engineer,180000,2,1,2,2,0
Machine Learning Developer,180000,2,2,0,2,0
Data Scientist,180000,2,1,2,2,0
Data Scientist,180000,0,1,2,2,0
Data Scientist,180000,0,2,2,2,0
Data Engineer,180000,2,1,2,2,0
Data Architect,180000,2,2,1,1,0
Data Engineer,181940,0,1,2,2,0
Data Engineer,182000,2,1,2,2,0
Data Science Manager,182160,0,1,3,2,0
Data Scientist Lead,183000,2,2,2,2,0
Data Engineer,183600,2,2,2,2,0
Data Engineer,184100,0,1,2,2,0
Analytics Engineer,184700,0,1,2,2,0
Data Scientist,185000,2,1,2,2,0
Data Engineer,185000,2,1,2,2,0
Data Scientist,185000,2,1,2,2,0
Machine Learning Engineer,185000,1,2,2,1,0
Principal Data Engineer,185000,2,2,2,1,0
Data Scientist,185100,2,1,2,2,0
Data Science Manager,185400,0,1,2,2,0
Data Engineer,185800,2,1,2,2,1
Data Scientist,185900,0,1,2,2,0
Data Engineer,185900,0,1,2,2,0
Data Scientist,185900,0,1,2,2,0
Data Scientist,185900,0,1,2,2,0
Data Engineer,185900,0,1,2,2,0
Data Scientist,185900,0,1,2,2,0
Data Scientist,185900,0,1,2,2,0
Data Engineer,185900,0,1,2,2,0
Data Engineer,185900,0,1,2,2,0
Machine Learning Infrastructure Engineer,186000,2,1,2,2,0
Machine Learning Engineer,186000,2,1,2,2,0
Data Scientist,186000,0,1,2,2,0
Machine Learning Engineer,187200,2,1,2,2,1
Data Engineer,187200,2,1,3,2,0
Research Scientist,187442,2,2,1,1,1
Data Engineer,188000,2,2,2,0,0
Data Engineer,188100,0,1,2,2,0
Data Engineer,188700,2,1,2,2,0
Data Science Manager,189500,2,2,2,2,0
Machine Learning Engineer,189650,0,1,2,2,0
Machine Learning Engineer,189650,0,1,2,2,0
Machine Learning Engineer,189650,0,1,2,2,0
Data Architect,190000,2,1,2,2,0
Data Architect,190000,2,1,2,2,0
Analytics Engineer,190000,2,1,2,2,0
Data Architect,190000,2,1,2,2,0
Lead Data Scientist,190000,2,0,2,0,0
Data Science Manager,190200,2,1,2,0,0
Data Engineer,191200,0,1,2,2,0
Applied Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,0,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Scientist,191475,2,1,2,2,0
Data Architect,192400,2,1,2,2,1
Data Architect,192564,2,1,2,2,0
Machine Learning Engineer,192600,2,1,2,2,0
Data Engineering Manager,193000,2,1,2,2,0
Director of Data Science,193455,1,2,3,2,1
Machine Learning Scientist,193900,0,1,2,2,0
Machine Learning Engineer,193900,0,1,2,2,0
Machine Learning Engineer,193900,0,1,1,2,0
Data Engineer,195000,2,1,2,2,0
Machine Learning Infrastructure Engineer,195000,2,1,2,1,0
ML Engineer,195400,2,2,2,2,0
Data Architect,195400,2,2,2,2,0
Machine Learning Engineer,195400,2,2,2,2,0
Data Architect,195400,2,2,2,2,0
Data Engineer,195700,0,1,2,2,0
Data Engineer,195700,0,1,2,2,0
Data Engineer,197000,0,1,2,2,0
Data Scientist,198440,0,2,2,2,0
Data Scientist,198440,0,1,2,2,0
Data Scientist,198440,2,1,2,2,0
Data Scientist,198440,0,2,2,2,0
Data Engineer,200000,0,1,2,2,0
Marketing Data Analyst,200000,2,0,2,2,1
Data Scientist,200000,2,1,2,2,0
Machine Learning Manager,200000,2,1,2,2,0
BI Analyst,200000,2,0,2,2,1
Data Engineer,200000,2,1,2,2,0
Data Engineer,200000,2,1,2,2,0
Machine Learning Engineer,200000,2,1,2,2,1
Machine Learning Scientist,200000,2,0,3,2,0
AI Scientist,200000,2,0,3,2,0
Analytics Engineer,200000,2,1,3,2,0
Machine Learning Engineer,200000,2,2,2,2,0
Data Engineer,200000,2,1,2,2,1
Analytics Engineer,200000,0,1,1,2,0
Data Engineer,200000,2,1,2,2,0
AI Scientist,200000,2,1,1,2,0
Data Science Manager,200000,2,1,2,2,0
AI Scientist,200000,2,2,1,2,0
Data Engineer,200000,2,1,3,2,0
Data Scientist,200000,2,1,1,2,0
Head of Data,200000,2,1,2,2,0
Principal Data Engineer,200000,2,1,2,1,0
Data Engineer,200000,2,2,1,1,0
Data Engineer,200000,2,2,1,1,0
Data Analyst,200000,2,2,2,1,0
Director of Data Engineering,200000,2,2,2,1,0
Machine Learning Engineer,200000,2,2,2,1,0
Data Engineer,200100,2,1,2,2,0
Data Scientist,202800,0,2,2,2,0
Machine Learning Engineer,202900,2,2,2,2,0
Machine Learning Engineer,202900,2,2,2,2,0
Analytics Engineer,203500,0,1,2,2,0
Data Scientist,203500,0,1,2,2,0
Data Scientist,204100,0,1,2,2,0
Machine Learning Engineer,204500,0,1,2,2,0
Head of Data,205000,0,1,3,2,0
Data Scientist,205000,0,1,2,2,0
Data Scientist,205300,0,2,2,2,0
Data Scientist,205300,0,1,2,2,0
Analytics Engineer,205300,0,1,2,2,0
Data Engineer,205600,0,2,2,2,0
Data Science Manager,206000,2,1,2,2,0
Data Engineer,206699,0,1,2,2,0
Data Engineer,206699,0,1,1,2,0
Data Scientist,207000,2,1,2,2,0
Data Scientist,207000,2,1,2,2,0
Data Architect,208775,2,1,2,2,0
Data Engineer,209100,2,2,2,2,0
Data Engineer,209100,2,2,2,2,0
Machine Learning Engineer,210000,2,1,2,2,0
Analytics Engineer,210000,2,1,3,2,0
Machine Learning Engineer,210000,2,1,2,2,0
Machine Learning Engineer,210000,2,1,2,2,0
Data Engineer,210000,2,1,2,2,0
Data Engineer,210000,2,1,2,2,0
Data Scientist,210000,2,1,2,2,0
Data Scientist,210000,2,1,2,2,0
Data Scientist,210000,2,1,2,2,0
Data Scientist,210000,2,1,2,2,0
Data Engineer,210000,2,1,2,2,0
Data Scientist,211500,2,1,2,2,0
Applied Scientist,212800,2,1,2,2,0
Data Architect,213120,2,1,2,2,0
Machine Learning Engineer,214000,2,1,2,2,0
Data Scientist,215000,0,2,2,2,0
Data Engineer,215000,0,1,2,2,0
Data Scientist,215300,2,2,2,2,0
Data Scientist,215300,0,2,2,2,0
Machine Learning Scientist,216000,0,1,2,2,0
Data Engineer,216000,2,1,3,2,0
Data Analyst,216200,0,1,2,2,0
Data Analyst,216200,0,1,1,2,0
Data Scientist,218000,0,1,2,2,0
Data Engineer,220000,0,1,2,2,0
Data Scientist,220000,2,1,2,2,0
Machine Learning Engineer,220000,2,1,2,2,0
Principal Data Scientist,220000,0,2,2,1,0
Data Engineer,220110,0,1,2,2,0
Data Engineer,220110,2,1,2,2,0
Data Specialist,221300,2,2,2,2,0
Data Science Manager,222640,0,1,3,2,0
Head of Data Science,224000,2,1,3,2,0
Data Scientist,225000,0,1,2,2,0
Data Engineer,225000,0,1,2,2,0
Data Scientist,225000,0,1,2,2,0
Data Scientist,225000,0,1,2,2,0
Data Architect,225000,2,1,2,2,0
Data Engineer,225000,0,1,2,2,0
Data Scientist,225000,0,1,1,2,0
Machine Learning Scientist,225000,2,2,0,1,0
Machine Learning Scientist,225000,2,2,2,1,1
Data Engineer,229998,0,2,2,2,0
Data Engineer,229998,0,2,2,2,0
Data Scientist,230000,2,1,2,2,0
Data Scientist,230000,2,1,2,2,0
Head of Data,230000,1,2,3,1,1
Data Architect,230400,0,1,2,2,0
Head of Data,235000,2,2,3,1,0
Principal Data Scientist,235000,2,2,2,1,0
Data Engineer,236000,2,1,2,2,0
Data Analyst,236600,2,1,2,2,0
Data Scientist,236900,2,2,2,2,0
Data Engineer,240000,0,1,2,2,0
Research Engineer,240000,2,1,1,2,0
ML Engineer,240000,0,1,2,2,0
Data Science Manager,240000,0,2,2,1,0
Data Science Manager,241000,2,1,1,2,0
Data Engineer,242000,2,1,3,2,0
Data Science Manager,243225,2,1,2,2,0
Data Engineer,243900,2,1,2,2,0
Data Scientist,245000,0,1,2,2,0
Analytics Engineer,245000,0,1,2,2,0
Data Scientist,245000,0,1,2,2,0
Machine Learning Engineer,248700,0,1,2,2,0
Data Science Manager,249260,0,1,2,2,0
ETL Developer,250000,2,1,2,2,0
ETL Developer,250000,2,1,2,2,0
Data Engineer,250000,2,1,2,2,0
Data Engineer,250000,2,1,2,2,0
Analytics Engineer,250000,0,1,2,2,0
Analytics Engineer,250000,0,1,2,2,0
Data Engineer,250000,0,1,2,2,0
ETL Developer,250000,0,1,2,2,0
Data Architect,250000,0,1,2,2,0
Data Engineer,250000,0,1,2,2,0
Cloud Data Architect,250000,1,2,2,1,0
Data Engineer,250000,0,1,2,2,0
Data Architect,250000,0,1,2,2,0
Data Engineer,250000,0,1,2,2,0
Director of Data Science,250000,0,2,3,1,0
Machine Learning Engineer,250000,1,2,0,0,0
ML Engineer,256000,2,0,2,1,0
Data Engineer,260000,0,1,2,2,0
Data Engineer,260000,2,1,3,2,0
Data Scientist,260000,2,1,2,2,0
Machine Learning Scientist,260000,0,0,2,0,1
Data Science Manager,260500,0,1,3,2,0
Data Architect,266400,2,1,2,2,0
ML Engineer,270000,2,2,1,1,0
Data Engineer,275000,2,1,2,2,0
Lead Data Engineer,276000,0,2,2,1,0
Data Engineer,297500,2,1,3,2,0
Data Engineer,300000,0,1,2,2,0
Data Engineer,300000,0,1,2,2,0
Data Engineer,300000,0,1,2,2,0
Data Science Manager,300000,2,1,2,2,0
Data Engineer,324000,2,1,3,2,0
Director of Data Science,325000,2,2,3,0,0
Data Architect,345600,0,1,2,2,0
Applied Data Scientist,380000,2,2,2,2,0
Data Analytics Lead,405000,2,2,2,2,0
Data Scientist,412000,2,2,2,0,0
Principal Data Scientist,416000,2,0,3,1,0
Applied Machine Learning Scientist,423000,1,2,1,1,0
Research Scientist,450000,0,1,1,0,0
Financial Data Analyst,450000,2,2,1,1,0
Principal Data Engineer,600000,2,2,3,1,0
